D018,京急蒲田 → 雑色,1
ED018,雑色,1
D019,雑色 → 六郷土手,1
ED019,六郷土手,1
D020,六郷土手 → 京急川崎,1
ED020,京急川崎,1
SD020,京急川崎,5
D021,京急川崎 → 港町,5
ED021,港町,5
D022,港町 → 鈴木町,5
ED022,鈴木町,5
D023,鈴木町 → 川崎大師,5
ED023,川崎大師,5
D024,川崎大師 → 東門前,5
ED024,東門前,5
D025,東門前 → 大師橋,5
ED025,大師橋,5
D026,大師橋 → 小島新田,5
ED026,小島新田,5
D027,京急川崎 → 八丁畷,1
ED027,八丁畷,1
D028,八丁畷 → 鶴見市場,1
ED028,鶴見市場,1
D029,鶴見市場 → 京急鶴見,1
ED029,京急鶴見,1
D030,京急鶴見 → 花月総持寺,1
ED030,花月総持寺,1
D031,花月総持寺 → 生麦,1
ED031,生麦,1
D032,生麦 → 京急新子安,1
ED032,京急新子安,1
D033,京急新子安 → 子安,1
ED033,子安,1
D034,子安 → 神奈川新町,1
ED034,神奈川新町,1
D035,神奈川新町 → 京急東神奈川,1
ED035,京急東神奈川,1
D036,京急東神奈川 → 神奈川,1
ED036,神奈川,1
D037,神奈川 → 横浜,1
ED037,横浜,1
D038,横浜 → 戸部,1
ED038,戸部,1
D039,戸部 → 日ノ出町,1
ED039,日ノ出町,1
D040,日ノ出町 → 黄金町,1
ED040,黄金町,1
D041,黄金町 → 南太田,1
ED041,南太田,1
D042,南太田 → 井土ヶ谷,1
ED042,井土ヶ谷,1
D043,井土ヶ谷 → 弘明寺,1
ED043,弘明寺,1
D044,弘明寺 → 上大岡,1
ED044,上大岡,1
D045,上大岡 → 屏風浦,1
ED045,屏風浦,1
D046,屏風浦 → 杉田,1
ED046,杉田,1
D047,杉田 → 京急富岡,1
ED047,京急富岡,1
D048,京急富岡 → 能見台,1
ED048,能見台,1
D049,能見台 → 金沢文庫,1
ED049,金沢文庫,1
D050,金沢文庫 → 金沢八景,1
N050,金沢文庫 → 金沢八景,1
ED050,金沢八景,1
D051,金沢八景 → 六浦,4
ED051,六浦,4
D052,六浦 → 神武寺,4
ED052,神武寺,4
D053,神武寺 → 逗子・葉山,4
ED053,逗子・葉山,4
D054,金沢八景 → 追浜,1
ED054,追浜,1
D055,追浜 → 京急田浦,1
ED055,京急田浦,1
D056,京急田浦 → 安針塚,1
ED056,安針塚,1
D057,安針塚 → 逸見,1
ED057,逸見,1
D058,逸見 → 汐入,1
ED058,汐入,1
D059,汐入 → 横須賀中央,1
ED059,横須賀中央,1
D060,横須賀中央 → 県立大学,1
ED060,県立大学,1
D061,県立大学 → 堀ノ内,1
ED061,堀ノ内,1
D062,堀ノ内 → 京急大津,1
ED062,京急大津,1
D063,京急大津 → 馬堀海岸,1
ED063,馬堀海岸,1
D064,馬堀海岸 → 浦賀,1
ED064,浦賀,1
D065,堀ノ内 → 新大津,1
ED065,新大津,1
D066,新大津 → 北久里浜,3
ED066,北久里浜,3
D067,北久里浜 → 京急久里浜,3
ED067,京急久里浜,3
D068,京急久里浜 → YRP野比,3
ED068,YRP野比,3
D069,YRP野比 → 京急長沢,3
ED069,京急長沢,3
D070,京急長沢 → 津久井浜,3
ED070,津久井浜,3
D071,津久井浜 → 三浦海岸,3
ED071,三浦海岸,3
D072,三浦海岸 → 三崎口,3
ED072,三崎口,3
